Feature	ERR479243	ERR479263	ERR479142	ERR478958	ERR479037	ERR479022	ERR479417	ERR479393	ERR479111	ERR478986	ERR479177	ERR479169	ERR479010	ERR479132	ERR479175	ERR479167	ERR479423	ERR478970	ERR479440	ERR479294	ERR478984	ERR479339	ERR479353	ERR479079	ERR479357	ERR479374	ERR479355	ERR479397	ERR479415	ERR479319	ERR479077	ERR479063	ERR479223	ERR479033	ERR479335	ERR479401	ERR479029	ERR478962	ERR479138	ERR478990	ERR479235	ERR479391	ERR479083	ERR479128	ERR479276	ERR479370	ERR479255	ERR479000	ERR479071	ERR479378	ERR479290	ERR479059	ERR479173	ERR479183	ERR479219	ERR479049	ERR479039	ERR479413	ERR479524	ERR478974	ERR479488	ERR478976	ERR479460	ERR479107	ERR479436	ERR479093	ERR479512	ERR479101	ERR479538	ERR479286	ERR479554	ERR479341
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Arcanobacterium_A|s__MGYG000004080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Gleimia|s__Gleimia_europaea_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003723	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Mobiluncus|s__MGYG000003800	0	0	0	1116	0	0	234	99	344	440	163	0	734	0	0	0	0	0	0	59	0	0	0	0	113	148	0	389	0	0	211	0	0	0	362	167	0	0	0	52	153	0	0	0	0	484	0	130	314	0	0	1876	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	487	0	0	54	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__MGYG000001284	149	39	54	42	137	0	58	0	25	56	0	113	167	0	0	11	0	0	16	62	15	0	12	153	0	105	90	20	148	0	269	100	0	12	21	33	75	0	211	20	10	0	421	40	48	76	38	250	0	17	0	0	39	138	49	64	0	0	15	42	0	38	0	216	0	24	0	189	48	48	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_bouchesdurhonensis	0	286	74	42	275	0	18	0	0	11	0	25	0	0	0	0	0	0	38	15	27	0	0	0	0	1139	35	88	10	0	146	61	0	0	32	0	45	0	21	0	0	19	411	0	0	13	12	0	0	72	0	16	1565	178	1209	61	0	56	0	538	0	0	31	22	0	0	0	109	0	573	0	99
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_cardiffensis	0	16	0	16	0	0	17	0	13078	23	0	0	23	20	0	0	0	0	49	11	0	0	0	0	0	28	13	0	0	0	15	0	0	15	37	0	0	0	98	0	0	0	0	0	32	72	0	0	0	13	0	36	26	0	0	11	0	0	0	45	0	0	0	0	0	27	0	41	17	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_culturomici	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_polynesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
